loc: 0, nll: 8.13, ppl: 3400.64
loc: 1, nll: 2.15, ppl: 8.58
loc: 2, nll: 5.49, ppl: 241.07
loc: 3, nll: 0.27, ppl: 1.32
loc: 4, nll: 14.35, ppl: 1710765.25
loc: 5, nll: 0.88, ppl: 2.41
loc: 6, nll: 1.25, ppl: 3.49
loc: 7, nll: 6.05, ppl: 425.55
loc: 8, nll: 4.97, ppl: 143.83
loc: 9, nll: 5.37, ppl: 215.36
loc: 10, nll: 0.68, ppl: 1.98
loc: 11, nll: 0.11, ppl: 1.11
loc: 12, nll: 0.01, ppl: 1.01
loc: 13, nll: 4.77, ppl: 117.40
loc: 14, nll: 2.48, ppl: 11.94
loc: 15, nll: 0.10, ppl: 1.10
loc: 16, nll: 0.48, ppl: 1.61
loc: 17, nll: 0.11, ppl: 1.12
loc: 18, nll: 1.16, ppl: 3.19
loc: 19, nll: 1.41, ppl: 4.11
loc: 20, nll: 3.31, ppl: 27.51
loc: 21, nll: 0.00, ppl: 1.00
loc: 22, nll: 0.00, ppl: 1.00
loc: 23, nll: 0.00, ppl: 1.00
loc: 24, nll: 0.03, ppl: 1.04
loc: 25, nll: 9.33, ppl: 11310.46
loc: 26, nll: 6.10, ppl: 447.57
loc: 27, nll: 0.01, ppl: 1.01
loc: 28, nll: 0.00, ppl: 1.00
loc: 29, nll: 2.48, ppl: 11.98
loc: 30, nll: 0.02, ppl: 1.02
loc: 31, nll: 1.83, ppl: 6.26
loc: 32, nll: 0.51, ppl: 1.67
loc: 33, nll: 6.02, ppl: 410.46
loc: 34, nll: 4.73, ppl: 113.05
loc: 35, nll: 5.04, ppl: 154.49
loc: 36, nll: 2.39, ppl: 10.88
loc: 37, nll: 0.01, ppl: 1.01
loc: 38, nll: 0.01, ppl: 1.01
loc: 39, nll: 0.00, ppl: 1.00
loc: 40, nll: 0.02, ppl: 1.02
loc: 41, nll: 0.33, ppl: 1.39
loc: 42, nll: 5.08, ppl: 160.22
loc: 43, nll: 3.89, ppl: 48.80
loc: 44, nll: 0.00, ppl: 1.00
loc: 45, nll: 0.02, ppl: 1.02
loc: 46, nll: 2.96, ppl: 19.23
loc: 47, nll: 0.00, ppl: 1.00
loc: 48, nll: 0.52, ppl: 1.68
loc: 49, nll: 1.68, ppl: 5.36
loc: 50, nll: 0.01, ppl: 1.01
loc: 51, nll: 0.01, ppl: 1.01
loc: 52, nll: 0.00, ppl: 1.00
loc: 53, nll: 0.95, ppl: 2.58
loc: 54, nll: 0.01, ppl: 1.01
loc: 55, nll: 4.11, ppl: 60.93
loc: 56, nll: 3.38, ppl: 29.24
loc: 57, nll: 0.06, ppl: 1.07
loc: 58, nll: 3.13, ppl: 22.76
loc: 59, nll: 2.35, ppl: 10.48
loc: 60, nll: 0.00, ppl: 1.00
loc: 61, nll: 0.91, ppl: 2.48
loc: 62, nll: 5.12, ppl: 167.45
loc: 63, nll: 0.53, ppl: 1.69
loc: 64, nll: 0.00, ppl: 1.00
loc: 65, nll: 0.11, ppl: 1.12
loc: 66, nll: 0.43, ppl: 1.54
loc: 67, nll: 5.22, ppl: 185.30
loc: 68, nll: 2.41, ppl: 11.18
loc: 69, nll: 8.90, ppl: 7351.33
loc: 70, nll: 0.01, ppl: 1.01
loc: 71, nll: 0.00, ppl: 1.00
loc: 72, nll: 0.26, ppl: 1.30
loc: 73, nll: 2.44, ppl: 11.53
loc: 74, nll: 0.09, ppl: 1.10
loc: 75, nll: 0.00, ppl: 1.00
loc: 76, nll: 1.13, ppl: 3.09
loc: 77, nll: 5.50, ppl: 244.17
loc: 78, nll: 0.01, ppl: 1.01
loc: 79, nll: 0.22, ppl: 1.25
loc: 80, nll: 7.31, ppl: 1498.71
loc: 81, nll: 0.29, ppl: 1.33
loc: 82, nll: 0.01, ppl: 1.01
loc: 83, nll: 0.99, ppl: 2.70
loc: 84, nll: 0.01, ppl: 1.01
loc: 85, nll: 8.60, ppl: 5428.20
loc: 86, nll: 4.80, ppl: 121.74
loc: 87, nll: 6.73, ppl: 836.01
loc: 88, nll: 5.48, ppl: 238.97
loc: 89, nll: 4.18, ppl: 65.46
loc: 90, nll: 4.71, ppl: 111.53
loc: 91, nll: 7.37, ppl: 1583.31
loc: 92, nll: 0.01, ppl: 1.01
loc: 93, nll: 0.18, ppl: 1.20
loc: 94, nll: 7.95, ppl: 2838.20
loc: 95, nll: 1.52, ppl: 4.58
loc: 96, nll: 0.07, ppl: 1.07
loc: 97, nll: 0.39, ppl: 1.47
loc: 98, nll: 2.64, ppl: 14.05
loc: 99, nll: 3.43, ppl: 30.76
loc: 100, nll: 0.01, ppl: 1.01
loc: 101, nll: 0.00, ppl: 1.00
loc: 102, nll: 0.03, ppl: 1.03
loc: 103, nll: 0.20, ppl: 1.22
loc: 104, nll: 0.01, ppl: 1.01
loc: 105, nll: 1.03, ppl: 2.79
loc: 106, nll: 0.04, ppl: 1.04
loc: 107, nll: 0.00, ppl: 1.00
loc: 108, nll: 3.62, ppl: 37.43
loc: 109, nll: 4.38, ppl: 80.22
